ID,exaggeration_score
0,0.1020408163265306
1,0.1675041876046901
10,0.2252252252252252
100,0.19867549668874174
101,0.16611295681063123
102,0.19736842105263158
103,0.23809523809523808
104,0.06578947368421052
105,0.13468013468013468
106,0.19867549668874174
107,0.14900662251655628
108,0.08888888888888889
109,0.19867549668874174
11,0.2631578947368421
110,0.20477815699658702
111,0.1652892561983471
112,0.11160714285714286
113,0.2073732718894009
114,0.11286681715575621
115,0.1664145234493192
116,0.14563106796116504
117,0.1297016861219196
118,0.1844532279314888
119,0.13157894736842105
12,0.06329113924050633
120,0.22950819672131145
121,0.18223234624145784
122,0.1680672268907563
123,0.13071895424836602
124,0.04219409282700422
125,0.06302521008403361
126,0.20477815699658702
127,0.16638935108153077
128,0.15665796344647517
129,0.18867924528301885
13,0.10067114093959731
130,0.11345218800648299
131,0.16556291390728478
133,0.16816143497757846
134,0.1552393272962484
135,0.09803921568627451
136,0.09708737864077668
137,0.08298755186721991
138,0.16113744075829384
139,0.1342281879194631
14,0.06756756756756757
140,0.11235955056179775
142,0.16985138004246284
143,0.11086474501108648
144,0.1593625498007968
145,0.33557046979865773
146,0.13245033112582782
147,0.10917030567685589
148,0.13245033112582782
149,0.11363636363636365
15,0.06571741511500548
150,0.2564102564102564
151,0.19480519480519481
152,0.19230769230769232
153,0.08771929824561403
154,0.200445434298441
155,0.06389776357827476
156,0.13008130081300812
157,0.133630289532294
158,0.1388888888888889
159,0.06369426751592357
16,0.23102310231023102
160,0.19758507135016465
161,0.06451612903225806
162,0.11013215859030838
163,0.17130620985010708
164,0.09803921568627451
165,0.09259259259259259
166,0.0625
167,0.18018018018018017
168,0.10443864229765012
169,0.15873015873015872
17,0.1391035548686244
170,0.18612521150592215
171,0.14184397163120566
172,0.2
173,0.06329113924050633
174,0.22895622895622897
175,0.1669449081803005
176,0.16366612111292964
177,0.16835016835016836
178,0.1639344262295082
179,0.0664451827242525
18,0.06666666666666667
180,0.1384083044982699
181,0.11235955056179775
182,0.11551155115511551
183,0.06593406593406594
184,0.13100436681222707
185,0.20202020202020204
186,0.10660980810234541
187,0.16771488469601678
189,0.16233766233766234
19,0.19736842105263158
190,0.11754827875734676
191,0.18456375838926176
192,0.1282051282051282
193,0.19650655021834063
194,0.14322916666666666
195,0.13513513513513514
197,0.16094420600858367
198,0.13468013468013468
199,0.12987012987012989
2,0.11673151750972763
20,0.0664451827242525
200,0.1342281879194631
201,0.19672131147540986
202,0.0946372239747634
203,0.17897091722595077
204,0.11437908496732026
205,0.19522776572668113
206,0.18456375838926176
207,0.1098901098901099
208,0.23706896551724138
209,0.16611295681063123
21,0.13513513513513514
210,0.2564102564102564
212,0.28322440087145967
213,0.133630289532294
214,0.14627659574468085
215,0.15978695073235685
216,0.12931034482758622
217,0.17264276228419653
218,0.07772020725388601
219,0.19736842105263158
22,0.09090909090909091
220,0.10615711252653927
221,0.19736842105263158
222,0.07709251101321586
223,0.16286644951140067
224,0.15555555555555556
225,0.10309278350515463
226,0.25806451612903225
227,0.11984021304926763
228,0.1644736842105263
229,0.08908685968819599
23,0.15873015873015872
230,0.1724137931034483
232,0.08438818565400844
233,0.17432646592709986
234,0.1322314049586777
235,0.1192504258943782
236,0.14285714285714285
237,0.09966777408637872
238,0.21207177814029365
239,0.091324200913242
24,0.13245033112582782
240,0.13245033112582782
241,0.11363636363636365
242,0.1171875
243,0.11879049676025918
244,0.13100436681222707
245,0.08620689655172414
246,0.2127659574468085
247,0.13333333333333333
248,0.155902004454343
249,0.18363939899833054
